year,emission,consumption in MJ,consumption in liters
2001,3766.145799059415,53823441352.17903,1594367533.9064884
2002,3892.9592141830162,55635780750.53136,1648052973.271944
2003,3999.3434603502897,57156159020.488464,1693089888.2662017
2004,4099.108211462663,58581935534.99634,1735324493.2678332
2005,4235.858808948783,60536291036.98144,1793216758.8643062
2006,4332.862314347408,61922605524.61557,1834282412.7009983
2007,4385.617330509935,62676547796.092766,1856615824.4986122
2008,4297.419727549859,61416081854.62288,1819278078.6357105
2009,4095.689121937665,58533072008.63676,1733877049.2162688
2010,3923.0726653259962,56066143688.66051,1660801260.6187165
2011,3903.659814020759,55788707147.577286,1652582986.1511285
2012,3824.9077180098793,54663230586.881966,1619243919.687426
2013,3819.633478534515,54587854397.47618,1617011112.82486
2014,3784.260326834067,54082323051.22128,1602036173.5494788
2015,3691.154228173402,52751707905.614334,1562620455.5094793
2016,3547.936008018515,50704921114.99268,1501990173.8735821
2017,3359.2179606771797,48007878755.21177,1422097906.341507
2018,3212.8082168187693,45915480669.10507,1360116518.8143132
