year,no_on_road,with_on_road_factor
2001,146623472,146623472
2002,157832822,157832822
2003,166323866,166323866
2004,180307416,180307416
2005,197475611,197475611
2006,230343722,230343722
2007,264808938,264808938
2008,291684513,306317163
2009,311762625,337927305
2010,329034043,369817183
2011,356313906,418174786
2012,368315503,451762653
2013,385938580,494925800
2014,399672399,552985939
2015,408525030,608038670
2016,415547701,667691911
2017,385234489,746077779
2018,387722904,797262664
