year,<1300cc,1300cc - 1900cc,>1900cc
2001,1331,94447,83294
2002,928,99307,91995
2003,714,104779,98010
2004,752,112847,108025
2005,953,123864,121265
2006,1735,144594,144483
2007,2832,168295,166753
2008,4264,195411,183747
2009,5074,218357,201047
2010,6199,255815,218471
2011,9218,305866,244111
2012,11363,346249,263493
2013,13424,394164,286075
2014,15893,449050,311497
2015,17575,511700,335650
2016,18910,582165,368153
2017,19862,645950,404706
2018,20235,694496,438861
