year,passenger_kilometers
2001,"[596037.0, 0.0, 0.0, 35862.0, 0.0, 67688.0, 1821029.0, 329035.0, 8294024.0, 14795319.0, 204168562.0, 218048824.0, 35585352.0, 32233581.0, 349401.0, 43560.0, 34278.0, 71724.0, 0.0, 186142.0, 777518.0, 793555.0, 7044924.0, 34640396.0, 238914511.0, 215362558.0, 33872688.0, 28481154.0, 102765.0, 29040.0, 22852.0, 107586.0, 17425.0, 16922.0, 143227.0, 677425.0, 13540244.0, 30392936.0, 190117857.0, 170184448.0, 26712801.0, 13937586.0, 164424.0, 0.0, 22852.0, 555861.0, 34850.0, 626114.0, 143227.0, 1935500.0, 10267602.0, 29732220.0, 142844457.0, 192190122.0, 39890799.0, 11490351.0, 246636.0, 29040.0, 22852.0, 215172.0, 34850.0, 304596.0, 204610.0, 2496795.0, 19660834.0, 28953519.0, 130737214.0, 147527558.0, 32873634.0, 7854459.0, 369954.0, 0.0, 11426.0, 71724.0, 34850.0, 84610.0, 1166277.0, 2206470.0, 49489342.0, 35678664.0, 106023731.0, 137108102.0, 33111504.0, 6689109.0, 143871.0, 14520.0, 79982.0, 89655.0, 17425.0, 203064.0, 3110072.0, 2709700.0, 43893374.0, 41247556.0, 96175106.0, 128642294.0, 35418843.0, 7901073.0, 267189.0, 1089000.0, 34278.0, 35862.0, 17425.0, 2369080.0, 3846668.0, 1645175.0, 55709860.0, 38581095.0, 95781161.0, 148015970.0, 22811733.0, 7131942.0, 226083.0, 2541000.0, 34278.0, 71724.0, 34850.0, 2622910.0, 2312093.0, 4780685.0, 47865512.0, 22346359.0, 73063666.0, 120664898.0, 18030546.0, 5150847.0, 123318.0, 2424840.0, 22852.0, 448275.0, 17425.0, 947632.0, 1943795.0, 19625970.0, 23707918.0, 36882111.0, 52788630.0, 70738338.0, 21099069.0, 3309594.0, 164424.0, 1858560.0, 11426.0, 412413.0, 87125.0, 558426.0, 2885001.0, 49064925.0, 14189776.0, 31808756.0, 17359843.0, 57008534.0, 14795514.0, 2866761.0, 61659.0, 1553640.0, 45704.0, 143448.0, 121975.0, 693802.0, 2271171.0, 42406805.0, 15139092.0, 22440747.0, 16151745.0, 40212588.0, 11536695.0, 2423928.0, 20553.0, 2584560.0, 45704.0, 71724.0, 191675.0, 287674.0, 1452731.0, 28742175.0, 10292584.0, 10335486.0, 10268833.0, 28816308.0, 9800244.0, 1561569.0, 41106.0, 1205160.0, 11426.0, 35862.0, 52275.0, 33844.0, 900284.0, 15871100.0, 4521742.0, 3492356.0, 6933432.0, 12970052.0, 5042844.0, 932280.0, 20553.0, 493680.0, 0.0, 17931.0, 34850.0, 0.0, 327376.0, 10548475.0, 2223398.0, 1746178.0, 3125297.0, 7597520.0, 3639411.0, 699210.0, 0.0, 174240.0, 0.0, 17931.0, 34850.0, 16922.0, 40922.0, 9580725.0, 724478.0, 896686.0, 1418202.0, 5019790.0, 1569942.0, 442833.0, 41106.0, 116160.0, 0.0, 0.0, 34850.0, 33844.0, 388759.0, 10664605.0, 374730.0, 707910.0, 1313150.0, 5915212.0, 2783079.0, 1281885.0]"
2002,"[686912.0, 0.0, 0.0, 0.0, 0.0, 17877000.0, 2237513.0, 109920.0, 6157368.0, 17563637.0, 250625208.0, 232689639.0, 41872096.0, 37919718.0, 64398.0, 0.0, 0.0, 18737.0, 0.0, 181800.0, 1801891.0, 348080.0, 7754580.0, 14336231.0, 197654031.0, 213547464.0, 33051872.0, 31305540.0, 85864.0, 54952.0, 20826.0, 18737.0, 0.0, 222200.0, 792040.0, 787760.0, 6249960.0, 34261955.0, 233760177.0, 208768521.0, 32644416.0, 28433904.0, 21466.0, 13738.0, 10413.0, 74948.0, 15811.0, 0.0, 79204.0, 641200.0, 12708252.0, 27479725.0, 185670303.0, 161823987.0, 27203680.0, 13863882.0, 0.0, 0.0, 10413.0, 393477.0, 31622.0, 666600.0, 118806.0, 2051840.0, 9722160.0, 29350685.0, 142100154.0, 184187328.0, 40002592.0, 11580696.0, 0.0, 27476.0, 20826.0, 187370.0, 31622.0, 343400.0, 198010.0, 2546480.0, 18448956.0, 28742623.0, 128050266.0, 143447499.0, 32404736.0, 7579236.0, 85864.0, 0.0, 0.0, 18737.0, 15811.0, 121200.0, 1267264.0, 2143440.0, 45671004.0, 36249850.0, 106717164.0, 137322003.0, 34082496.0, 7037862.0, 42932.0, 0.0, 20826.0, 74948.0, 0.0, 222200.0, 3306767.0, 2693040.0, 40948812.0, 40085318.0, 95534073.0, 125335041.0, 35832160.0, 8826750.0, 42932.0, 934184.0, 20826.0, 37474.0, 0.0, 3009800.0, 3880996.0, 1612160.0, 50069124.0, 35571627.0, 94965879.0, 140727990.0, 23512608.0, 7791078.0, 21466.0, 2101914.0, 20826.0, 56211.0, 47433.0, 2706800.0, 2059304.0, 4323520.0, 40092336.0, 19153953.0, 69371322.0, 107143374.0, 18287584.0, 5343126.0, 64398.0, 1895844.0, 0.0, 430951.0, 47433.0, 1090800.0, 1603881.0, 17733760.0, 18773028.0, 28812784.0, 49355397.0, 60806109.0, 20804224.0, 3271782.0, 21466.0, 1250158.0, 10413.0, 337266.0, 63244.0, 404000.0, 2098906.0, 37391120.0, 8981424.0, 20136207.0, 11932074.0, 40370187.0, 12942720.0, 2730408.0, 42932.0, 879232.0, 10413.0, 74948.0, 94866.0, 505000.0, 1584080.0, 29641760.0, 8310132.0, 13166881.0, 10847340.0, 26614224.0, 9347520.0, 2118420.0, 0.0, 1607346.0, 31239.0, 56211.0, 189732.0, 242400.0, 811841.0, 17788720.0, 4606452.0, 5402397.0, 6095172.0, 16924323.0, 7981344.0, 1341666.0, 0.0, 728114.0, 0.0, 37474.0, 15811.0, 20200.0, 376219.0, 8866880.0, 2106468.0, 1987895.0, 4106493.0, 7551258.0, 3810912.0, 682602.0, 0.0, 233546.0, 0.0, 18737.0, 15811.0, 0.0, 198010.0, 5880720.0, 995364.0, 724997.0, 1497966.0, 4171674.0, 2588544.0, 588450.0, 42932.0, 123642.0, 10413.0, 0.0, 31622.0, 80800.0, 237612.0, 10790480.0, 439812.0, 818545.0, 1213869.0, 6574347.0, 3331552.0, 1341666.0]"
2003,"[0.0, 201690.0, 0.0, 19191.0, 71432.0, 64356.0, 222563.0, 11527865.0, 830280.0, 1034730.0, 1910550.0, 8094024.0, 4304180.0, 1464244.0, 0.0, 470610.0, 0.0, 19191.0, 17858.0, 21452.0, 283262.0, 6007953.0, 1211760.0, 1080718.0, 2853088.0, 5174028.0, 3020060.0, 552092.0, 0.0, 1102572.0, 12165.0, 19191.0, 125006.0, 150164.0, 606990.0, 12386144.0, 2805000.0, 3334130.0, 4712690.0, 12038580.0, 6182800.0, 792132.0, 23183.0, 551286.0, 12165.0, 38382.0, 89290.0, 386136.0, 1254446.0, 21322343.0, 5475360.0, 8806702.0, 8737582.0, 19850850.0, 8584580.0, 1968328.0, 0.0, 900882.0, 36495.0, 268674.0, 71432.0, 321780.0, 1416310.0, 29316118.0, 6036360.0, 13842388.0, 9374432.0, 31428378.0, 11533300.0, 2088348.0, 69549.0, 1465614.0, 0.0, 249483.0, 53574.0, 600656.0, 1416310.0, 12891014.0, 11915640.0, 18303224.0, 38236474.0, 41981346.0, 19047780.0, 2880480.0, 23183.0, 1626966.0, 24330.0, 38382.0, 53574.0, 2102296.0, 1962601.0, 3483603.0, 31169160.0, 13382508.0, 58768518.0, 81683046.0, 16741120.0, 4560760.0, 0.0, 779868.0, 12165.0, 57573.0, 0.0, 2445528.0, 3641940.0, 1279004.0, 41671080.0, 27546812.0, 85006738.0, 114622650.0, 22353200.0, 7489248.0, 0.0, 0.0, 24330.0, 57573.0, 0.0, 214520.0, 3318212.0, 2238257.0, 37317720.0, 34881898.0, 89362792.0, 110703708.0, 34956600.0, 9001500.0, 23183.0, 0.0, 0.0, 19191.0, 17858.0, 128712.0, 1133048.0, 1952164.0, 43152120.0, 32168606.0, 102176214.0, 125841582.0, 33672480.0, 7873312.0, 46366.0, 26892.0, 24330.0, 134337.0, 35716.0, 321780.0, 242796.0, 2255086.0, 17974440.0, 28029686.0, 126274618.0, 136061568.0, 32507260.0, 8329388.0, 46366.0, 0.0, 12165.0, 307056.0, 17858.0, 686464.0, 161864.0, 1901677.0, 9738960.0, 28121662.0, 140616480.0, 178145370.0, 40426000.0, 12698116.0, 23183.0, 13446.0, 0.0, 76764.0, 0.0, 0.0, 101165.0, 689989.0, 12184920.0, 28006692.0, 181756990.0, 154708560.0, 27347000.0, 13850308.0, 92732.0, 26892.0, 24330.0, 19191.0, 0.0, 235972.0, 849786.0, 706818.0, 5856840.0, 32973396.0, 227737560.0, 193872366.0, 32768840.0, 28156692.0, 46366.0, 0.0, 0.0, 38382.0, 0.0, 150164.0, 1901902.0, 319751.0, 7629600.0, 13911370.0, 195793164.0, 205449894.0, 32364580.0, 32333388.0, 139098.0, 0.0, 0.0, 0.0, 0.0, 18942116.0, 2407727.0, 100974.0, 5744640.0, 17475440.0, 247454436.0, 233343540.0, 40164420.0, 38382396.0, 347745.0, 0.0, 0.0, 0.0, 464308.0, 33550928.0, 6353162.0, 134632.0, 6552480.0, 17245500.0, 242767220.0, 170999064.0, 54194620.0, 46735788.0]"
2004,"[498364.0, 0.0, 0.0, 0.0, 3250026.0, 24235302.0, 21000060.0, 14606570.0, 6038088.0, 14009401.0, 244320720.0, 180624336.0, 75067401.0, 66515190.0, 108340.0, 0.0, 0.0, 0.0, 418132.0, 34609484.0, 6436800.0, 163710.0, 6550152.0, 16595406.0, 242044440.0, 166831476.0, 56247219.0, 47507460.0, 195012.0, 0.0, 0.0, 0.0, 19006.0, 19578832.0, 2393685.0, 127330.0, 5803392.0, 17090120.0, 247988060.0, 227843136.0, 40911378.0, 37374750.0, 130008.0, 0.0, 0.0, 36314.0, 0.0, 173264.0, 1971270.0, 309230.0, 7254240.0, 13941940.0, 202437168.0, 196827840.0, 34630083.0, 31442250.0, 65004.0, 23878.0, 27238.0, 0.0, 0.0, 238238.0, 864945.0, 782170.0, 5974080.0, 31909053.0, 229853696.0, 188452716.0, 33966399.0, 26957280.0, 108340.0, 23878.0, 13619.0, 54471.0, 19006.0, 0.0, 140805.0, 709410.0, 11820144.0, 27186783.0, 183316416.0, 150379452.0, 28277679.0, 13454910.0, 21668.0, 0.0, 13619.0, 254198.0, 19006.0, 649740.0, 181035.0, 2037280.0, 9409176.0, 26579634.0, 138220780.0, 171652764.0, 41006190.0, 12481980.0, 65004.0, 23878.0, 27238.0, 90785.0, 38012.0, 281554.0, 321840.0, 2601170.0, 17047464.0, 26242329.0, 122160360.0, 128360580.0, 33207903.0, 9586920.0, 43336.0, 0.0, 0.0, 18157.0, 19006.0, 108290.0, 1227015.0, 2055470.0, 39044880.0, 30020145.0, 99953984.0, 117723924.0, 34061211.0, 8756370.0, 86672.0, 0.0, 27238.0, 54471.0, 0.0, 173264.0, 3258630.0, 2091850.0, 31747968.0, 29817762.0, 84020024.0, 98563032.0, 34227132.0, 9230970.0, 21668.0, 620828.0, 27238.0, 54471.0, 19006.0, 2274090.0, 3037365.0, 1200540.0, 34329624.0, 21879851.0, 77469396.0, 95481384.0, 22588959.0, 7451220.0, 43336.0, 1158083.0, 0.0, 54471.0, 57018.0, 1754298.0, 1709775.0, 3019540.0, 23469600.0, 9781845.0, 51013964.0, 64441236.0, 15596574.0, 4366320.0, 43336.0, 1038693.0, 0.0, 145256.0, 38012.0, 368186.0, 1247130.0, 11841690.0, 8577072.0, 13334791.0, 32222008.0, 32257896.0, 18322419.0, 2823870.0, 0.0, 513377.0, 27238.0, 199727.0, 38012.0, 194922.0, 784485.0, 24392790.0, 3307080.0, 7802989.0, 6601212.0, 20801124.0, 9718230.0, 1874670.0, 21668.0, 334292.0, 0.0, 72628.0, 57018.0, 238238.0, 804600.0, 14933990.0, 2389632.0, 4744757.0, 5260736.0, 12003516.0, 6826464.0, 1637370.0, 0.0, 620828.0, 13619.0, 18157.0, 76024.0, 86632.0, 362070.0, 8385590.0, 1322832.0, 1753986.0, 2428032.0, 7505304.0, 5025036.0, 783090.0, 21668.0, 334292.0, 0.0, 54471.0, 57018.0, 64974.0, 362070.0, 10968570.0, 1024128.0, 1304246.0, 2529200.0, 8275716.0, 5475393.0, 1779750.0]"
2005,"[37882.0, 0.0, 0.0, 21473.0, 7813344.0, 40493180.0, 30569079.0, 75370620.0, 7739296.0, 2887104.0, 233647740.0, 264314720.0, 87430932.0, 91251802.0, 18941.0, 0.0, 0.0, 0.0, 3368508.0, 25386109.0, 21705489.0, 18307479.0, 6326400.0, 13866848.0, 249828192.0, 177789840.0, 78777439.0, 70250927.0, 37882.0, 0.0, 0.0, 0.0, 518232.0, 36110127.0, 6843516.0, 156093.0, 6558368.0, 16185280.0, 246053592.0, 170986720.0, 56754653.0, 49562065.0, 0.0, 0.0, 0.0, 0.0, 39864.0, 20469080.0, 2782755.0, 111495.0, 5799200.0, 16841440.0, 267493320.0, 223594240.0, 43149570.0, 37681570.0, 18941.0, 0.0, 0.0, 42946.0, 0.0, 244739.0, 2102526.0, 312186.0, 7507328.0, 13451280.0, 211654404.0, 194539760.0, 35557132.0, 31465311.0, 37882.0, 23870.0, 35566.0, 0.0, 0.0, 200241.0, 968811.0, 1092651.0, 5925728.0, 30380208.0, 228841416.0, 182161520.0, 34118813.0, 26785116.0, 37882.0, 23870.0, 17783.0, 42946.0, 0.0, 0.0, 164904.0, 936558.0, 11345344.0, 26115168.0, 179142516.0, 143405840.0, 28813538.0, 14040585.0, 18941.0, 0.0, 17783.0, 214730.0, 19932.0, 622972.0, 185517.0, 2564385.0, 8856960.0, 24846592.0, 137194128.0, 162464400.0, 40579459.0, 12768532.0, 0.0, 11935.0, 0.0, 107365.0, 0.0, 266988.0, 288582.0, 3121860.0, 16090144.0, 23140576.0, 117163584.0, 118698480.0, 33835865.0, 10728447.0, 18941.0, 0.0, 0.0, 21473.0, 19932.0, 88996.0, 1071876.0, 2341395.0, 33888416.0, 23687376.0, 90288432.0, 102439760.0, 32845547.0, 10104421.0, 0.0, 0.0, 17783.0, 42946.0, 0.0, 244739.0, 2803368.0, 2140704.0, 25305600.0, 20909632.0, 73252404.0, 77806080.0, 32303230.0, 9720405.0, 0.0, 489335.0, 35566.0, 64419.0, 19932.0, 1957912.0, 2679690.0, 1070352.0, 25368864.0, 13341920.0, 62104752.0, 67932960.0, 20395835.0, 7440310.0, 0.0, 835450.0, 17783.0, 21473.0, 39864.0, 1268193.0, 1216167.0, 2720478.0, 14508544.0, 6299136.0, 38349936.0, 44158880.0, 13958768.0, 3744156.0, 37882.0, 739970.0, 0.0, 107365.0, 0.0, 222490.0, 886359.0, 10748118.0, 4997856.0, 7698944.0, 21641040.0, 21661920.0, 15774351.0, 2472103.0, 18941.0, 322245.0, 53349.0, 214730.0, 19932.0, 88996.0, 680229.0, 23904528.0, 2361856.0, 5161792.0, 5108292.0, 15006160.0, 7898965.0, 1536064.0, 18941.0, 286440.0, 0.0, 21473.0, 39864.0, 111245.0, 618390.0, 14026071.0, 1792480.0, 3149568.0, 3950748.0, 9062640.0, 5658960.0, 1224051.0, 18941.0, 596750.0, 17783.0, 42946.0, 59796.0, 66747.0, 535938.0, 18485871.0, 1623776.0, 2034096.0, 3925584.0, 11273040.0, 7757491.0, 1728072.0]"
2006,"[175417.0, 0.0, 0.0, 0.0, 17716350.0, 40434240.0, 27935743.0, 85432500.0, 3073001.0, 14688112.0, 290789347.0, 278142963.0, 121801484.0, 114088882.0, 15947.0, 0.0, 0.0, 0.0, 8303205.0, 41659520.0, 31159898.0, 76866468.0, 8160751.0, 2882115.0, 240735240.0, 265137570.0, 90820940.0, 94711808.0, 63788.0, 0.0, 0.0, 16254.0, 3756720.0, 25993440.0, 22693891.0, 19045752.0, 6186704.0, 13962246.0, 258963752.0, 184877769.0, 81001214.0, 72351867.0, 47841.0, 11758.0, 0.0, 0.0, 683040.0, 37130360.0, 7134743.0, 250602.0, 6715830.0, 15734213.0, 282913441.0, 179536696.0, 62399057.0, 51194322.0, 0.0, 0.0, 0.0, 32508.0, 21345.0, 20676600.0, 3140951.0, 136692.0, 6207055.0, 17015153.0, 304857003.0, 226959676.0, 49006426.0, 39355346.0, 31894.0, 11758.0, 0.0, 32508.0, 0.0, 328200.0, 2267309.0, 455640.0, 7713029.0, 14090340.0, 223299272.0, 196158690.0, 38794833.0, 31955986.0, 15947.0, 23516.0, 16350.0, 0.0, 21345.0, 218800.0, 1164856.0, 1070754.0, 6268108.0, 30635815.0, 230481702.0, 178219391.0, 36535835.0, 27516370.0, 31894.0, 23516.0, 0.0, 32508.0, 0.0, 0.0, 249612.0, 1025190.0, 11030242.0, 24786189.0, 180452362.0, 138269123.0, 30381218.0, 15469287.0, 31894.0, 0.0, 16350.0, 178794.0, 21345.0, 634520.0, 249612.0, 2642712.0, 8750930.0, 22117564.0, 133766567.0, 152184654.0, 40892474.0, 14683105.0, 0.0, 23516.0, 16350.0, 113778.0, 0.0, 196920.0, 291214.0, 3007224.0, 14673071.0, 19470288.0, 112491714.0, 106893313.0, 33400899.0, 13781308.0, 15947.0, 0.0, 0.0, 16254.0, 21345.0, 87520.0, 1123254.0, 2232636.0, 29814215.0, 21220906.0, 84703140.0, 88762406.0, 33078185.0, 12486420.0, 0.0, 0.0, 32700.0, 16254.0, 0.0, 218800.0, 2288110.0, 1913688.0, 21348199.0, 15947703.0, 65112443.0, 63110885.0, 29851045.0, 10844687.0, 0.0, 352740.0, 32700.0, 32508.0, 21345.0, 1312800.0, 2308911.0, 865716.0, 19272397.0, 9393560.0, 53026147.0, 53362828.0, 18579106.0, 8324280.0, 47841.0, 670206.0, 0.0, 16254.0, 64035.0, 831440.0, 1102453.0, 2278200.0, 10358659.0, 4547337.0, 30562478.0, 34465489.0, 12977713.0, 4532108.0, 47841.0, 529110.0, 0.0, 48762.0, 21345.0, 153160.0, 748836.0, 9021672.0, 3317213.0, 5251854.0, 17485502.0, 16789651.0, 14268569.0, 2451038.0, 15947.0, 270434.0, 49050.0, 81270.0, 0.0, 43760.0, 478423.0, 18704022.0, 1160007.0, 2711323.0, 3442613.0, 9748057.0, 6431229.0, 1318011.0, 47841.0, 552626.0, 16350.0, 32508.0, 21345.0, 109400.0, 624030.0, 22052976.0, 1668782.0, 2924813.0, 5052468.0, 12741932.0, 10626511.0, 2936621.0]"
2007,"[160347.0, 0.0, 0.0, 34234.0, 24218794.0, 58790626.0, 42116768.0, 108526728.0, 3186201.0, 57061446.0, 285182030.0, 271392176.0, 157980090.0, 121645517.0, 189501.0, 10532.0, 0.0, 0.0, 18386336.0, 40504070.0, 28754000.0, 91841064.0, 3226279.0, 14627262.0, 292090060.0, 282127328.0, 124693468.0, 113869196.0, 43731.0, 0.0, 0.0, 34234.0, 8867938.0, 43609744.0, 31953536.0, 80608536.0, 8276107.0, 3176082.0, 253278160.0, 273251994.0, 94628132.0, 95311545.0, 29154.0, 0.0, 0.0, 17117.0, 4032852.0, 27299526.0, 23965152.0, 20577432.0, 6652948.0, 14108718.0, 293212920.0, 199871580.0, 87591564.0, 74345299.0, 43731.0, 10532.0, 0.0, 0.0, 628778.0, 38462578.0, 7862912.0, 279648.0, 7614820.0, 17003922.0, 318379630.0, 189018718.0, 67669852.0, 52163286.0, 0.0, 0.0, 0.0, 34234.0, 21682.0, 21392230.0, 3534128.0, 163128.0, 6672987.0, 17716920.0, 323578960.0, 229087202.0, 51563422.0, 40785542.0, 29154.0, 10532.0, 0.0, 34234.0, 0.0, 347488.0, 2404880.0, 535992.0, 7735054.0, 14324778.0, 232334380.0, 193185652.0, 41282722.0, 32435746.0, 14577.0, 21064.0, 16795.0, 17117.0, 43364.0, 217180.0, 1275632.0, 1211808.0, 6232129.0, 30313218.0, 226939770.0, 173622250.0, 36462216.0, 27802068.0, 29154.0, 21064.0, 0.0, 34234.0, 0.0, 21718.0, 271856.0, 1141896.0, 10780982.0, 23442510.0, 173823610.0, 127880144.0, 30270950.0, 15300313.0, 29154.0, 0.0, 16795.0, 171170.0, 0.0, 564668.0, 271856.0, 2260488.0, 8296146.0, 19661460.0, 128323370.0, 139839480.0, 41351260.0, 14841533.0, 14577.0, 21064.0, 0.0, 51351.0, 21682.0, 173744.0, 230032.0, 2703264.0, 12163673.0, 15469896.0, 104059830.0, 90660242.0, 32624088.0, 15025045.0, 14577.0, 0.0, 0.0, 0.0, 0.0, 65154.0, 982864.0, 1747800.0, 22062939.0, 14540838.0, 71033100.0, 66364898.0, 28808806.0, 11997097.0, 0.0, 0.0, 16795.0, 0.0, 0.0, 65154.0, 1923904.0, 1328328.0, 14768743.0, 10824606.0, 50601930.0, 44800426.0, 25656058.0, 11056598.0, 0.0, 252768.0, 33590.0, 0.0, 21682.0, 890438.0, 1568400.0, 559296.0, 11742854.0, 5703984.0, 37762270.0, 36325306.0, 15946508.0, 6881700.0, 43731.0, 347556.0, 0.0, 17117.0, 86728.0, 564668.0, 752832.0, 1514760.0, 5410530.0, 2938416.0, 21309930.0, 22529694.0, 10372084.0, 3784935.0, 29154.0, 252768.0, 0.0, 17117.0, 21682.0, 65154.0, 564624.0, 6222168.0, 1603120.0, 3284112.0, 11350650.0, 10947030.0, 11902766.0, 2087449.0, 43731.0, 579260.0, 50385.0, 51351.0, 21682.0, 65154.0, 815568.0, 32439168.0, 2043978.0, 3932292.0, 6566290.0, 15937934.0, 13890368.0, 3349094.0]"
2008,"[73420.0, 0.0, 0.0, 0.0, 31965164.0, 69785947.0, 124857750.0, 152066357.0, 8031140.0, 105510362.0, 208689836.0, 302660528.0, 102881016.0, 77777892.0, 293680.0, 0.0, 0.0, 42042.0, 23399194.0, 52734654.0, 38703825.0, 101089696.0, 2907476.0, 59431452.0, 269379512.0, 265611996.0, 150148220.0, 116825661.0, 278996.0, 10886.0, 0.0, 0.0, 18194554.0, 39182143.0, 26529675.0, 89430745.0, 3293784.0, 16868788.0, 279518484.0, 291356396.0, 125199120.0, 108725688.0, 44052.0, 0.0, 0.0, 42042.0, 9238236.0, 45336627.0, 31536450.0, 83817176.0, 9637368.0, 3906940.0, 271157436.0, 311741280.0, 103039783.0, 93161034.0, 44052.0, 0.0, 0.0, 42042.0, 4315514.0, 28643643.0, 22852500.0, 21590650.0, 7319520.0, 15489868.0, 323462038.0, 226199660.0, 93967383.0, 73013202.0, 73420.0, 10886.0, 0.0, 0.0, 780696.0, 37221982.0, 8123025.0, 363632.0, 7949812.0, 18638402.0, 342178292.0, 195470208.0, 69744075.0, 53840997.0, 29368.0, 0.0, 0.0, 42042.0, 21686.0, 21582848.0, 3656400.0, 204543.0, 7116200.0, 19902412.0, 339463354.0, 228937928.0, 55046787.0, 39183903.0, 29368.0, 10886.0, 0.0, 28028.0, 0.0, 337232.0, 2326800.0, 522721.0, 7827820.0, 15443904.0, 237857400.0, 189572400.0, 43071219.0, 31787289.0, 44052.0, 0.0, 21021.0, 0.0, 43372.0, 189693.0, 1204950.0, 1045442.0, 6180928.0, 29325032.0, 220919070.0, 160785480.0, 35518446.0, 25683948.0, 44052.0, 10886.0, 0.0, 14014.0, 0.0, 0.0, 228525.0, 1090896.0, 10145668.0, 21695008.0, 165202776.0, 114983852.0, 29485300.0, 13704156.0, 0.0, 10886.0, 21021.0, 112112.0, 0.0, 484771.0, 228525.0, 1977249.0, 7136532.0, 14938300.0, 116526100.0, 111028576.0, 38466976.0, 13522644.0, 0.0, 10886.0, 0.0, 14014.0, 0.0, 168616.0, 207750.0, 1886341.0, 9678032.0, 11169252.0, 87839056.0, 68152448.0, 27693501.0, 12932730.0, 0.0, 0.0, 0.0, 14014.0, 0.0, 42154.0, 644025.0, 1363620.0, 15838628.0, 10020152.0, 58527336.0, 49054784.0, 23565559.0, 9915093.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84308.0, 1267275.0, 886353.0, 10409984.0, 7101438.0, 37913028.0, 31993268.0, 19369574.0, 8462997.0, 0.0, 152404.0, 21021.0, 0.0, 0.0, 526925.0, 914100.0, 386359.0, 7644832.0, 3677120.0, 28422758.0, 25791208.0, 11340500.0, 5082336.0, 29368.0, 250378.0, 0.0, 14014.0, 0.0, 337232.0, 581700.0, 1022715.0, 3741088.0, 1861542.0, 14775990.0, 15048772.0, 7121834.0, 2745369.0, 102788.0, 587844.0, 63063.0, 56056.0, 21686.0, 105385.0, 893325.0, 24726976.0, 1951872.0, 4366580.0, 12013000.0, 17131728.0, 17010750.0, 3743685.0]"
2009,"[78465.0, 22732.0, 20372.0, 0.0, 11892840.0, 50485772.0, 98485140.0, 80881660.0, 4695660.0, 62697600.0, 69189186.0, 262227218.0, 39263825.0, 9242396.0, 204009.0, 0.0, 0.0, 0.0, 32489860.0, 61743566.0, 119786930.0, 163952934.0, 8135025.0, 114035925.0, 235092154.0, 345317676.0, 113498750.0, 84034018.0, 455097.0, 0.0, 0.0, 24476.0, 25595460.0, 59016268.0, 44354970.0, 113457754.0, 3130440.0, 67665825.0, 293493398.0, 311805538.0, 162067225.0, 119388426.0, 345246.0, 11366.0, 0.0, 0.0, 19627495.0, 45318260.0, 31362100.0, 99381664.0, 3933645.0, 19942875.0, 315565008.0, 348451400.0, 134602775.0, 111424711.0, 47079.0, 0.0, 0.0, 36714.0, 10276965.0, 50383242.0, 35374005.0, 92008474.0, 12130455.0, 4618350.0, 305178368.0, 360939524.0, 110509575.0, 91750970.0, 47079.0, 0.0, 0.0, 24476.0, 4481360.0, 30656470.0, 26617055.0, 23415464.0, 8814660.0, 17353800.0, 345284962.0, 246932774.0, 97384175.0, 72211827.0, 62772.0, 11366.0, 0.0, 0.0, 710985.0, 38776846.0, 8471840.0, 424517.0, 8752875.0, 19662975.0, 343089604.0, 203902534.0, 68099250.0, 50339652.0, 47079.0, 0.0, 0.0, 36714.0, 21545.0, 21818384.0, 4134095.0, 245773.0, 7475985.0, 20129475.0, 339477886.0, 228083658.0, 51310425.0, 36139563.0, 62772.0, 11366.0, 0.0, 24476.0, 0.0, 451132.0, 2484530.0, 558575.0, 8052645.0, 16280850.0, 232613524.0, 183159152.0, 40342625.0, 27637456.0, 31386.0, 22732.0, 20372.0, 12238.0, 43090.0, 184554.0, 1181170.0, 1050121.0, 6137310.0, 27150300.0, 205395806.0, 148197082.0, 31712225.0, 21042154.0, 62772.0, 11366.0, 0.0, 12238.0, 0.0, 41012.0, 224015.0, 826691.0, 8505735.0, 16863975.0, 146900138.0, 99086482.0, 25396750.0, 11575428.0, 15693.0, 11366.0, 20372.0, 61190.0, 0.0, 369108.0, 203650.0, 1564010.0, 5704815.0, 11149350.0, 99357654.0, 91135242.0, 32858450.0, 10655675.0, 0.0, 11366.0, 0.0, 12238.0, 0.0, 164048.0, 264745.0, 1631039.0, 7681935.0, 8163750.0, 72352390.0, 53834572.0, 22003025.0, 9399427.0, 0.0, 0.0, 0.0, 12238.0, 0.0, 41012.0, 529490.0, 983092.0, 11162490.0, 5971200.0, 42726860.0, 33722612.0, 17552975.0, 6326106.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 855330.0, 424517.0, 7022895.0, 4385100.0, 25872176.0, 20673224.0, 13395100.0, 5899879.0, 0.0, 68196.0, 0.0, 0.0, 0.0, 369108.0, 692410.0, 201087.0, 4633875.0, 2029275.0, 17728106.0, 16650832.0, 7304375.0, 3364950.0, 78465.0, 602398.0, 20372.0, 12238.0, 21545.0, 328096.0, 997885.0, 19728869.0, 3356985.0, 3312150.0, 16807472.0, 21748980.0, 15485275.0, 4105239.0]"
