0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,9902,9902,9902,9902,9902,13206,13206,13206,13206,13250,13250,13250,13250,13250
15,10090,10090,10090,10090,10090,13262,13262,13262,13262,13589,13589,13589,13589,13589
14,10348,10348,10348,10348,10348,13414,13414,13414,13414,13899,13899,13899,13899,13899
13,10660,10660,10660,10660,10660,13650,13650,13650,13650,14179,14179,14179,14179,14179
12,10926,10926,10926,10926,10926,13917,13917,13917,13917,14442,14442,14442,14442,14442
11,11151,11151,11151,11151,11151,14138,14138,14138,14138,14764,14764,14764,14764,14764
10,11239,11239,11239,11239,11239,14452,14452,14452,14452,15064,15064,15064,15064,15064
9,11407,11407,11407,11407,11407,14813,14813,14813,14813,15366,15366,15366,15366,15366
8,11602,11602,11602,11602,11602,15052,15052,15052,15052,15656,15656,15656,15656,15656
7,11854,11854,11854,11854,11854,15343,15343,15343,15343,15956,15956,15956,15956,15956
6,12151,12151,12151,12151,12151,15747,15747,15747,15747,16295,16295,16295,16295,16295
5,12555,12555,12555,12555,12555,16068,16068,16068,16068,16662,16662,16662,16662,16662
4,12855,12855,12855,12855,12855,16391,16391,16391,16391,17078,17078,17078,17078,17078
3,13127,13127,13127,13127,13127,16771,16771,16771,16771,17432,17432,17432,17432,17432
2,13361,13361,13361,13361,13361,17114,17114,17114,17114,17771,17771,17771,17771,17771
1,13599,13599,13599,13599,13599,17459,17459,17459,17459,18036,18036,18036,18036,18036
0,13886,13886,13886,13886,13886,17804,17804,17804,17804,18386,18386,18386,18386,18386
