year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2003,0.0,18522.375,26722.055555555555,22171.249307479226,27933.375,29342.0,26777.388429752067
2002,0.0,17830.88888888889,25034.0625,22092.75182481752,27518.98742138365,28766.0,26737.606666666667
2001,0.0,17421.833333333332,25196.772727272728,21719.40418118467,26742.636363636364,28202.0,26412.1228668942
2000,15446.0,17464.886363636364,23873.070588235296,21363.69159497022,26076.592286501378,27649.0,25649.977426636568
1999,0.0,18296.119047619046,23345.61797752809,20828.071108901044,25417.80206185567,27107.0,25301.825174825175
1998,14846.0,17161.737704918032,22662.10891089109,21551.61295296839,25344.2111449717,26576.0,24907.18241042345
1997,14555.0,16158.864,21891.656565656565,22983.96052631579,25067.991692627205,26054.0,24213.720357941835
1996,0.0,16115.064516129032,21461.183673469386,22889.85463010864,24482.65446527012,25544.0,23691.05431309904
1995,0.0,22873.8,21361.96551724138,22306.561247216036,23947.937910447763,25043.0,23386.91056910569
1994,13716.0,23072.0,21015.5873015873,21934.270720941637,23539.950277264325,24552.0,23003.142201834864
1993,13447.0,20891.18181818182,20564.51724137931,21183.15294117647,23164.08014896373,24070.0,22567.4235705951
1992,13183.0,22084.647058823528,19626.170731707316,20537.01096892139,22732.430372237875,23598.0,22114.229699416777
1991,12925.0,20218.6,19787.0,20621.155821917808,22334.294385250807,23136.0,21606.667631731325
1990,12671.0,17732.6,19215.735849056604,19977.435643564357,21906.25968768074,22682.0,21119.970599764798
1989,12423.0,20897.0,18958.980198019803,19880.203342618384,21561.429984320348,22237.0,20771.637740029542
1988,12235.0,0.0,17979.423153692616,19681.52671755725,21236.340080198588,21901.0,20467.140510948906
1987,12050.0,0.0,17841.110294117647,19372.146666666667,20915.219844357976,21571.0,20178.503076194982
