year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2012,27430.0,22941.0,23329.328255571032,23580.02238934993,24191.707602339182,23937.0,23650.0
2011,27022.0,22600.0,22998.205147711426,23185.137414091074,23821.75061728395,23581.0,23299.0
2010,26620.0,22264.0,22679.805353753516,22782.499748663347,23358.250954198473,23230.0,22952.0
2009,28653.0,24835.5,21911.09107180459,22164.660196654324,22871.55016021691,22542.0,21993.0
2008,29235.0,29235.0,22812.27801924868,23019.77758970887,24210.656285072953,23501.0,22866.0
2007,25490.0,27307.0,23857.73002867677,24194.670760510155,24400.05402049053,24478.0,23148.0
2006,21840.0,0.0,21156.26792388719,21383.521013029913,21964.59540229885,22109.0,20753.0
2005,20666.0,19332.0,20019.628103539355,19907.893880712625,21308.132518864535,21337.0,19747.0
2004,20666.0,16257.0,19093.742708634134,19318.456896551725,20671.580349965992,20729.0,19709.0
2003,20910.0,0.0,18363.25519404155,19782.521495327102,20816.46200188265,20876.0,19630.0
2002,22155.0,20666.0,18249.65606060606,19469.975609756097,20241.672176681797,20283.0,19439.0
2001,19580.0,19136.0,14886.748387096774,15684.744,17032.40931012791,17115.0,15395.0
2000,19659.0,12502.0,14356.522388059702,15353.728682170542,16284.499796720424,16360.0,15097.0
1999,11558.0,10053.5,12190.222222222223,12722.406374501992,14500.30308370044,14629.0,14101.0
1998,11383.0,9012.6,11927.25,12474.176470588236,14312.991304347826,14408.0,13888.0
1997,0.0,9752.5,11790.727272727272,12309.331325301206,14089.47619047619,14191.0,13678.0
1996,11042.0,11042.0,11652.614457831325,11925.849173553719,13796.22754491018,13976.0,13472.0
