year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2007,6060.0,40398.0,24655.817745803357,16945.599875415282,26459.759564367494,26516.0,27033.07497135374
2006,5941.0,16745.0,24126.970890410958,16656.91638225256,26372.40061694218,25996.0,26705.0961427749
2005,5825.0,38830.0,23941.302661596957,16784.123450413223,25983.82295923216,25487.0,26296.175003013137
2004,5710.0,38068.0,23555.52027809965,17556.189300411523,25354.556652191077,24987.0,25584.306431095407
2003,5598.0,15779.0,23270.147058823528,21723.632653061224,24841.138394793925,24497.0,24975.263177998473
2002,0.0,36590.0,22847.909090909092,21361.20294117647,24349.496447854504,24017.0,24513.648079306073
2001,5381.0,28971.0,22354.06106870229,20720.71393643032,23851.482663785482,23546.0,24026.161440546413
2000,5275.0,21851.25,21849.095890410958,19782.31129476584,23190.945140186916,23084.0,23523.53846153846
1999,5172.0,24529.0,21482.571428571428,19752.316865417375,22733.26322203266,22631.0,22659.60592369478
1998,5071.0,32696.727272727272,21098.333333333332,18740.923679060666,22243.619750283768,22188.0,21923.173382173383
1997,4971.0,25489.4,20551.8,18542.8132780083,21818.10102430207,21753.0,21697.74459913586
1996,4874.0,0.0,20243.54,18724.242346938776,21271.72816075914,21326.0,21188.658632286995
1995,0.0,20377.0,19844.831578947367,18312.93828715365,20835.81818181818,20908.0,20800.598753894083
1994,0.0,13724.153846153846,19455.188034188035,18129.675409836065,20554.837106570954,20498.0,20393.867735470943
1993,4593.0,13463.79411764706,18963.848484848484,16952.34328358209,20179.428146679882,20096.0,19868.001615508885
1992,4503.0,13384.04,18635.1935483871,13620.613832853025,19505.116693679094,19702.0,19051.160130718956
1991,4414.0,13591.295081967213,18287.581395348836,12524.807228915663,18737.30820399113,19316.0,18837.36870026525
