year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2004,16056.0,0.0,24258.22622107969,22028.770718232045,28003.590197413207,28578.0,28093.349246231155
2003,15741.0,0.0,23933.6793814433,25086.21518987342,27430.789289871944,28018.0,27532.7408
2002,15432.0,0.0,23489.6298828125,24610.2688172043,26892.086133459536,27469.0,27008.36261738867
2001,15130.0,29719.0,22709.88679245283,24022.333333333332,26365.051948051947,26930.0,26477.5351758794
2000,14833.0,19677.0,22314.037037037036,23155.287925696593,25721.48919767774,26402.0,25932.952899961074
1999,14542.0,23421.333333333332,21781.875,23006.81112984823,25201.229514012062,25884.0,25334.65284090909
1998,14257.0,27597.666666666668,21648.375,21947.54430379747,24640.509854069503,25377.0,24772.903368794327
1997,13978.0,23494.444444444445,21097.483870967742,21738.43524416136,24125.600300150076,24879.0,24280.704709141275
1996,13703.0,26918.0,20566.776119402984,21712.493051981473,23545.611121619066,24391.0,23790.840531561462
1995,13435.0,24086.8,20155.564705882352,21229.47910168434,23024.209552495697,23913.0,23329.432078559737
1994,13171.0,15498.40350877193,19884.470817120622,20946.171940298507,22651.118186323092,23444.0,22896.53275453828
1993,12913.0,14758.05,19516.834319526628,20166.104265402842,22318.603588907015,22985.0,22427.883610451307
1992,12660.0,15049.82105263158,19044.506172839505,17847.831908831908,21640.866630958757,22534.0,21932.71524663677
1991,0.0,16119.089285714286,18659.6,16421.072860962566,20792.467105263157,22092.0,21520.910020449897
1990,12168.0,14885.125,18299.333333333332,16161.56270096463,20494.61813842482,21659.0,21118.798319327732
1989,0.0,13610.5,17913.615384615383,15838.994263862332,20181.827586206895,21234.0,20668.567346938777
1988,11750.0,14092.0,17637.5,15436.15668202765,20006.430379746835,20914.0,20423.039215686276
