year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2016,21517.0,23133.1338028169,24208.579481234603,24036.95102967407,24296.0,26236.0,24437.0
2015,26189.0,23549.344615384616,23544.031684554364,23468.75188170608,23291.0,25772.0,24036.0
2014,26231.0,23400.390625,23586.742355708342,23505.758651484706,23575.0,25954.0,24353.0
2013,16585.0,22934.0,23232.29141716567,23563.888452474468,23895.063291139242,26015.0,24142.0
2012,21534.0,21412.0,22570.321478639416,23488.782496029424,23904.51104972376,25622.0,23418.0
2011,19044.0,19805.0,21159.419878514218,21884.957907751854,23264.206611570247,24942.0,22361.0
2010,20717.0,12242.0,20359.460961577974,20457.167793033852,23495.541838467136,23568.0,22298.0
2009,23420.0,19109.0,20796.12543942382,21009.533496108652,22614.768353670734,22940.0,22147.0
2008,19590.0,19590.0,20903.03663679494,20958.66640806827,22207.272056109265,22275.0,21480.0
2007,22391.0,23406.0,20940.002341920375,20831.196776669225,21925.176003101376,22098.0,20861.0
2006,21768.0,0.0,20871.204006163327,20945.18469015796,21849.69093725794,21926.0,20899.0
2005,14888.0,13988.0,17464.561948464525,17231.723936816525,18549.79382017998,18589.0,17917.0
2004,0.0,0.0,16452.78812691914,16251.724601175483,18025.005770938147,18090.0,17048.0
2003,0.0,0.0,15949.454590083456,16266.041450777202,17537.559709066307,17596.0,16192.0
2002,13875.0,3468.75,15288.025889967637,15829.026819923372,16668.62023653088,16704.0,15614.0
2001,0.0,0.0,14022.181102362205,15086.96062992126,16067.909785932721,16106.0,14632.0
2000,0.0,9904.642857142857,14245.8,14165.21568627451,15774.89167862267,15846.0,14454.0
