year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2011,25978.0,22894.0,23134.26580811333,23211.97562886239,24044.868686868685,24508.0,23333.0
2010,25592.0,22553.0,22779.364365106096,22796.71549666293,23902.476256983242,24143.0,22986.0
2009,27956.0,25856.0,22477.56642955484,22530.93458549223,23699.098003629762,23819.0,22681.0
2008,28544.0,0.0,22728.662727272727,22725.75871313673,23564.9630033775,23615.0,22663.0
2007,25036.0,27373.0,23017.110226141373,23380.882738290205,24125.96694936393,24340.0,22647.0
2006,26971.0,0.0,23124.29611823362,23512.564788465188,23960.644314677516,24084.0,22362.0
2005,22144.0,20018.0,23196.48636616583,22990.154250145886,24295.460428540508,24325.0,22770.0
2004,22144.0,18520.0,20888.28824571766,21569.762962962963,22316.603170686572,22354.0,21741.0
2003,23045.0,0.0,19469.901607212858,20972.363636363636,21947.16104636747,22003.0,21255.0
2002,0.0,22144.0,19198.713108614233,20517.586363636365,21641.993990306946,21705.0,20949.0
2001,21383.0,12459.666666666666,17710.42405063291,19481.478260869564,21129.896447097974,21236.0,20339.0
2000,0.0,15576.5,13802.112676056338,15601.594059405941,17172.247678382508,17333.0,15917.0
1999,0.0,10069.0,12125.90909090909,13489.713836477988,15190.326545723807,15327.0,15159.0
1998,10595.0,9465.0,11551.57142857143,13164.71052631579,14987.19951923077,15096.0,14930.0
1997,0.0,10435.0,11602.636363636364,12981.80586080586,14739.25312355391,14868.0,14705.0
1996,0.0,0.0,11598.333333333334,12872.964412811389,14487.741447891805,14643.0,14483.0
1995,10122.0,10050.055555555555,11396.186046511628,12035.419715447155,14226.368221941992,14422.0,14264.0
