year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2013,19937,21795.89648,21240.22796,21190.55222,20994.13881,22862,21798
2012,21895,21032,21189.12015,21231.0748,21323.43881,23213,21870
2011,20464,20780,21042.49077,21000.963,21393.77273,23305,21745
2010,23433,20101,20649.19744,20601.61118,22215.45411,22941,21595
2009,25161,21999,19402.13537,19645.64318,22471.37084,22889,21204
2008,25212,25212,20873.21969,20809.06633,23144.39295,22987,21308
2007,20832,20365,21607.81823,21660.14811,22636.35051,22867,21027
2006,22669,0,21415.39391,21236.44212,22166.17605,22271,20842
2005,23090,23090,21418.77227,21154.59217,22379.86679,22413,20905
2004,23076,18864,20911.59458,21212.02063,22181.97063,22221,20720
2003,23934,23934,20305.18164,20863.02004,22109.66773,22180,20441
2002,24778,23538,16715.9229,17321.2925,17764.32498,17788,16546
2001,13586,13586,16699.45161,16370.10031,17508.1276,17582,15935
2000,12997,6498.5,15997.60563,15753.88106,16495.83283,16570,15046
1999,12376,11326,13624.8,14385.56281,15533.70536,15593,14236
1998,12189,10638,13733.5,13977.51429,15317.95153,15358,14021
1997,12005,12005,12620.6125,13187.88119,15050.00722,15126,13809
