year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2010,25738.0,22724.0,24327.287868211642,24363.487285336854,25198.527964205816,25354.0,23792.0
2009,27403.0,26939.0,23698.80371035308,23705.779295747547,24742.803593556382,24823.0,23262.0
2008,27883.0,0.0,23934.771682862593,23916.633192389007,24699.631714495954,24674.0,23346.0
2007,25413.0,28771.0,23948.680936248846,24084.274193548386,24552.900211362325,24682.0,23092.0
2006,27076.0,27076.0,23694.53896882494,24145.88350705089,24654.774434051782,24765.0,22798.0
2005,28291.0,26977.0,24847.5762815297,24784.566399011735,25846.836689369262,25864.0,23489.0
2004,20124.0,21501.0,20754.025316455696,21229.180977542932,22442.25506280441,22497.0,21632.0
2003,21981.0,21981.0,20042.420765027324,21344.165254237287,22606.367176990585,22678.0,21426.0
2002,29785.0,20124.0,18957.927075252133,20446.1796875,21689.0,21761.0,20790.0
2001,20128.0,17710.666666666668,18685.824675324675,20346.875,21961.677157752463,22066.0,20585.0
2000,0.0,18486.666666666668,17558.18181818182,19002.56129032258,20619.21038100497,20796.0,19734.0
1999,12157.0,11183.0,12077.375,12932.88746803069,13688.365356385582,13758.0,13944.0
1998,11973.0,10329.0,12168.5,12597.914179104477,13490.576963350786,13550.0,13733.0
1997,0.0,11793.0,11869.727272727272,12455.697530864198,13285.464034401877,13346.0,13526.0
1996,0.0,0.0,11543.863636363636,12338.18691588785,13062.190309398715,13144.0,13322.0
1995,0.0,0.0,11320.382352941177,12217.897526501767,12850.90365111562,12946.0,13121.0
1994,11266.0,11187.521739130434,11245.884615384615,11404.96105263158,12660.629570747218,12750.0,12923.0
