year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2009,27878.0,27689.0,25213.47286624204,25277.296257796257,26411.297917778964,26617.0,25094.0
2008,28001.0,0.0,25176.254302470916,25157.663261347472,26216.48760775862,26256.0,24675.0
2007,26768.0,30306.0,25325.13549007047,25444.395028680687,26222.352941176472,26393.0,24469.0
2006,28181.0,28181.0,25405.445827075735,25510.96076740677,26167.66104197427,26241.0,24352.0
2005,28840.0,26674.0,25887.83815028902,25919.35542808583,27138.959926862713,27147.0,24583.0
2004,29175.0,21848.0,23487.97607973422,24116.81571815718,25511.092902218465,25523.0,23659.0
2003,23616.0,23616.0,20974.8,22647.923423423425,23659.10983937049,23713.0,22279.0
2002,29921.0,20886.0,20823.5094637224,22484.08823529412,23683.8386250328,23752.0,22189.0
2001,23870.0,22902.0,20005.625,21704.87980769231,23073.17020470053,23163.0,21485.0
2000,17716.0,19898.0,20684.391304347828,21941.08115942029,23037.797769893565,23167.0,21127.0
1999,13001.0,13491.5,13162.307692307691,15009.077777777778,16156.294270083501,16271.0,16116.0
1998,12805.0,13633.0,12770.07142857143,14553.487031700288,15914.347130360571,16025.0,15873.0
1997,0.0,13087.0,12679.809523809523,14405.304932735426,15673.439238653002,15783.0,15633.0
1996,0.0,13358.0,12606.642857142857,14352.491467576792,15414.521781219748,15545.0,15397.0
1995,0.0,0.0,12443.0,14176.416666666666,15158.165109034268,15310.0,15164.0
1994,0.0,12049.0,12126.576923076924,13988.653846153846,14973.001193317423,15079.0,14935.0
1993,11867.0,11899.545454545454,11975.727272727272,12346.757170172084,14683.892271662764,14851.0,14710.0
