year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2008,25825.0,0.0,23393.411301528486,23421.358453288172,24566.220908337727,24810.0,23996.0
2007,23707.0,25525.0,23292.70867009552,23439.82618165977,24373.669227424263,24619.0,23511.0
2006,25445.0,25445.0,23333.585157232705,23531.129851110567,24460.523124191463,24568.0,23399.0
2005,26312.0,23705.0,23334.372893772892,23451.159538683325,24491.28002793296,24519.0,23327.0
2004,26111.0,18904.0,23239.71858540256,23399.045801526718,24714.47994624036,24751.0,23240.0
2003,26246.0,26246.0,22103.503875968992,23842.061425061424,24570.12495848004,24608.0,23156.0
2002,25900.0,26111.0,19405.17568692756,20263.91086350975,21813.960586862286,21907.0,21200.0
2001,22701.0,10947.666666666666,17831.25,19530.91911764706,21532.947786606128,21663.0,20324.0
2000,18108.0,15825.0,17619.492753623188,19373.417142857143,20994.48572247159,21188.0,20080.0
1999,12204.0,13441.0,13409.0,15741.6197440585,17798.427621483377,18050.0,17647.0
1998,0.0,14212.4,13119.735294117647,15224.849315068494,17534.49090909091,17777.0,17381.0
1997,0.0,13038.0,12950.555555555555,15118.771019677997,17271.749396426847,17509.0,17118.0
1996,0.0,14023.0,12803.424242424242,15079.292014302742,16942.74512534819,17245.0,16860.0
1995,0.0,0.0,12609.430769230768,14852.702359346642,16662.882352941175,16984.0,16605.0
1994,0.0,11462.866666666667,12382.797101449276,14693.52417302799,16497.82874162323,16728.0,16354.0
1993,11139.0,11233.083333333334,12195.727272727272,14114.353711790392,16253.646551724138,16475.0,16107.0
1992,10971.0,11226.213114754099,12039.673469387755,12240.405405405405,15710.246376811594,16226.0,15864.0
