year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000
2017,25567,22591.93473,23643.26451,23572.05673,24387.68581,24999,23559,,485773,9691940,720268410,1294318063,29728589,1124255028,273590667,,
2016,22003,22711.14157,23052.37691,22945.06655,23907.52342,24569,23175,,308042,7540099,789590014,1334898082,44396271,1070422192,234577350,,
2015,24831,22552.28418,22844.89291,22871.30279,23850.27061,24551,23210,,446958,8412002,572355947,1123735720,45124712,788406263,205106770,,
2014,26373,22368.40047,22551.71558,22691.69559,23803.90624,24641,23294,,553833,9551307,464091755,959518348,75148932,733390083,186631528,,
2013,15212,21488.48583,21619.37685,22502.45034,23469.5655,24203,22684,,197756,10615312,344094002,759502704,98360949,606043120,133291184,,
2012,20672,21258.12908,21998.58666,22937.95151,23934.29454,24466,22560,,227392,14327979,317197621,694423544,119288524,593985548,129720000,,
2011,16134,18470,19517.96915,20053.09589,21804.54909,22109,20547,,145206,15200810,345468054,562529446,127033303,543571874,108241596,,
2010,19254,12019,19807.12629,19971.52585,22305.20764,22361,21512,,96270,865368,317429006,414888478,162850321,460658961,105860552,,
2009,25236,17658,19695.15185,19897.71552,21487.85109,21563,20560,,126180,52974,190136996,113098615,242576351,379659741,73974880,,
2008,17810,3709,20158.86757,20110.91094,21331.21143,21340,20281,,160290,3709,212655894,142264584,361393384,318712900,158496015,,
2007,21267,22874,19970.70715,19754.10851,21145.16784,21292,19863,,127602,22874,120023950,82828977,320370438,220350908,165915639,,
2006,16047,13998,17526.17629,17336.48224,18573.86907,18605,17927,,80235,13998,68895399,45872332,216051245,152393555,98939113,,
2005,0,14625.66667,16892.08687,16550.304,18020.38603,18051,17377,,0,43877,51335052,31031820,137008995,116049879,54198863,,
2004,0,0,16097.35152,15930.62389,17732.30718,17801,16968,,0,0,21248504,7200642,112103646,57497230,31916808,,
2003,0,0,15608.57037,15963.52055,17196.84088,17258,16065,,0,0,14750099,2330674,79758948,34291646,14346045,,
2002,14386,0,15525.20619,15747.23077,16352.26126,16386,15190,,14386,0,6023780,1842426,54453030,28724658,7291200,,
2001,0,0,14006.06383,13971.96639,15519.31688,15569,14521,,0,0,1316570,4987992,69154076,38175188,11544195,,
,,,,,,,,,2969923,76342249,4556881053,7575272447,2294801714,7266588774,1993642405,,
,,,,,,,,,2.969923,76.342249,4556.881053,7575.272447,2294.801714,7266.588774,1993.642405,23766.49857,
