year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2006,22049.0,0.0,22992.57100223825,23238.0,25511.0,25511.0,25511.0
2005,21648.0,0.0,22602.82141915062,22712.0,25019.0,25019.0,25019.0
2004,21129.0,21129.0,21688.77067209776,21732.0,24597.0,24597.0,24597.0
2003,20395.0,20395.0,20851.833976833976,20859.0,24218.0,24218.0,24218.0
2002,0.0,15931.0,20647.69644484959,20652.0,23820.0,23820.0,23820.0
2001,15008.0,15008.0,21541.0,21541.0,23345.0,23345.0,23345.0
2000,17200.0,17200.0,21268.358208955226,21330.0,22943.0,22943.0,22943.0
1999,14194.0,14194.0,21256.0,21256.0,22518.0,22518.0,22518.0
1998,14171.0,14171.0,20572.85714285714,20729.0,22023.0,22023.0,22023.0
1997,0.0,13338.0,20420.0,20420.0,21585.0,21585.0,21585.0
1996,15320.0,15320.0,19912.813559322032,19992.0,21148.0,21148.0,21148.0
1995,0.0,17750.0,19459.0,19459.0,20699.0,20699.0,20699.0
1994,0.0,12444.0,18926.093023255813,18964.0,20306.0,20306.0,20306.0
1993,11982.0,11982.0,18424.606382978724,18637.0,19887.0,19887.0,19887.0
1992,11627.0,11627.0,18256.81818181818,18411.0,19451.0,19451.0,19451.0
1991,11952.0,11952.0,18152.0,18152.0,19031.0,19031.0,19031.0
1990,11313.0,11313.0,17606.194444444445,17786.0,18560.0,18560.0,18560.0
