0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,2,0,1,0,2,24,12,748,114,1010,1929,317,482
15,0,0,0,1,1,121,22,1,33,96,1041,1711,249,320
14,1,1,0,0,3,312,68,3,66,161,1914,2201,510,598
13,1,0,0,1,20,312,314,295,89,215,2918,3372,1049,1253
12,2,0,0,1,62,655,551,1647,175,80,3973,6545,1755,2220
11,5,1,0,0,163,736,725,2360,90,491,6477,8403,3257,3409
10,6,0,0,2,299,1488,1251,3295,117,2392,8136,9317,5317,4302
9,6,0,0,2,305,1200,1065,2930,109,2185,7382,7678,4682,3635
8,6,0,0,1,231,886,893,2134,78,1597,5509,5358,3426,2541
7,5,0,0,1,239,1019,877,2022,73,1502,5280,4929,3268,2369
6,7,0,0,2,480,2116,1660,3720,137,2783,9546,8896,6019,4394
5,7,0,0,1,463,2095,1386,3351,125,2364,8511,7992,5443,3934
4,9,0,0,2,784,2829,2063,4764,168,3115,11608,11341,7787,5574
3,10,0,0,2,958,3236,2279,5219,185,3249,12716,12601,8457,6153
2,11,0,0,2,886,3086,2175,4703,170,2801,12056,11818,7663,5677
1,11,0,0,2,992,2888,2051,4633,168,2720,11688,11730,7316,5465
0,14,0,0,2,1371,3323,2473,5717,195,3242,14343,14153,8490,6511
