year,emission
2001,4769.093970737785
2002,4929.678591127598
2003,5064.0455876530505
2004,5190.07845493223
2005,5361.490852306371
2006,5481.345733331446
2007,5544.502624034756
2008,5213.816009586292
2009,5089.010783138166
2010,5010.745391751443
2011,5154.865151889958
2012,5214.7515709297595
2013,5411.836261972574
2014,5634.524830858699
2015,5730.888015603169
2016,5731.770788176258
2017,5787.328775510707
2018,5784.576424791632
