year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2001,783,25536,57846,20018,10899,9402,3245
2000,2236,44962,94706,25522,10859,9762,2970
1999,2012,29872,70809,21140,8011,7589,2360
1998,856,18302,57868,20726,7030,6977,3228
1997,1819,25334,55118,15657,5588,5370,2509
1996,1289,22528,44528,11608,5059,4702,1823
1995,629,17305,32659,9525,3959,5831,1538
1994,497,15692,29563,10155,3881,5428,1242
1993,576,13242,24615,8766,2820,4516,956
1992,489,16211,22138,7963,2744,4278,1075
1991,500,17286,18212,7517,2416,3394,838
1990,507,19186,16301,7004,2216,3409,723
1989,416,13053,11065,4432,1367,2358,596
1988,265,7925,6227,2360,943,1187,406
1987,157,4353,3475,1187,473,690,276
1986,128,3070,2264,794,246,396,215
1985,130,3935,2304,798,357,648,552
