year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2008,9,9424,40175,18253,5675,2925,1081
2007,28,12758,53227,27490,7805,5254,2352
2006,36,16605,50898,26630,8549,6056,2789
2005,110,17077,50958,26465,11667,5636,2911
2004,128,19288,45872,23076,12486,5597,3295
2003,131,20298,45893,18886,12126,6532,2853
2002,220,20915,49993,20173,9565,9820,3228
2001,546,24878,54306,19668,11827,9725,3426
2000,1595,40239,83377,23461,11726,9657,2983
1999,1248,26849,60996,19397,8331,7587,2438
1998,481,16020,48654,18169,6935,6699,3003
1997,810,19328,42498,11965,4861,4829,2161
1996,422,14044,29646,7466,3700,3907,1568
1995,206,8241,17519,4881,2184,3678,1243
1994,130,5225,11963,3800,1615,2686,889
1993,117,3262,7488,2589,993,1699,583
1992,346,10215,10209,6428,2404,4280,2224
