year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2004,198,20076,47405,23457,12586,5622,3588
2003,127,21494,47704,19063,11895,6233,3004
2002,262,22175,52922,20456,9022,9837,3310
2001,688,26679,58423,20404,10926,9600,3313
2000,2168,44789,93042,25230,11104,9735,3048
1999,1868,30155,69735,20713,8017,7452,2399
1998,787,18644,57697,20241,7106,6839,3183
1997,1591,25255,53944,14812,5412,5301,2415
1996,1040,21926,43113,10751,4804,4553,1784
1995,491,15891,29828,8244,3445,5098,1435
1994,372,12763,24440,7781,2863,4247,1092
1993,380,9384,17527,5813,1795,3052,782
1992,270,9845,13275,4614,1558,2514,744
1991,215,7395,7769,3243,1077,1536,506
1990,161,6768,5291,2595,750,1471,441
1989,103,3417,2595,1409,408,854,342
1988,241,4589,3202,1455,585,986,746
