year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2003,182,20537,46472,18673,11787,6186,2931
2002,252,21977,52935,20349,9039,9787,3296
2001,675,26612,58860,20587,11017,9674,3318
2000,2199,44706,93044,25320,10875,9707,3034
1999,1890,29912,69530,20563,7920,7418,2352
1998,803,18577,57914,20409,7084,6935,3214
1997,1690,25434,54757,15305,5539,5313,2482
1996,1133,22543,44355,11216,4973,4671,1816
1995,503,16718,31383,8757,3695,5408,1470
1994,412,14013,26728,8736,3238,4637,1165
1993,455,10823,20205,6805,2144,3474,837
1992,336,11745,15877,5572,1842,2991,854
1991,312,10925,11337,4618,1500,2072,620
1990,246,10526,8597,3871,1126,2018,504
1989,176,5962,4731,2153,646,1185,396
1988,113,3218,2480,1022,401,545,266
1987,208,4612,3133,1182,523,896,667
