year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2002,299,21019,52144,19837,8924,9580,3243
2001,686,26588,58667,20292,10982,9556,3280
2000,2214,44901,94367,25726,10942,9857,2971
1999,1912,29860,69405,20637,7774,7522,2314
1998,849,18437,57662,20443,7041,6955,3226
1997,1727,25442,55090,15450,5571,5346,2492
1996,1231,23056,45477,11703,5151,4821,1850
1995,597,17554,32962,9510,3981,5821,1528
1994,473,15420,29264,9896,3699,5268,1255
1993,531,12688,23373,8318,2617,4177,933
1992,438,14900,20254,7129,2410,3847,1003
1991,384,13422,14060,5720,1836,2618,772
1990,333,13584,11196,4997,1498,2544,592
1989,251,8055,6661,2826,890,1651,496
1988,156,4531,3541,1407,552,758,332
1987,88,2442,1917,668,275,480,222
1986,176,4007,2517,900,418,713,590
