year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2009,3,4099,11770,3438,1053,572,132
2008,46,11061,44866,20440,6431,3453,1376
2007,55,14528,59621,31059,8844,6206,2959
2006,77,18691,56582,29644,9612,7095,3393
2005,155,18959,55721,28904,12645,6391,3441
2004,170,21319,49666,24960,13526,6294,3891
2003,159,21938,48860,19921,12696,7077,3359
2002,247,22175,51816,20578,9620,10400,3595
2001,538,25602,53634,19128,11392,9899,3536
2000,1462,39593,78365,22041,10892,9120,2854
1999,952,24527,52587,16324,7185,6489,2058
1998,342,13052,38730,13360,5333,5267,2302
1997,514,14290,30968,7750,3325,3391,1534
1996,227,8608,18564,4234,2188,2371,1013
1995,115,4140,9987,2498,1166,2054,757
1994,62,2198,6231,1822,832,1333,496
1993,274,6151,8366,4337,1548,2869,1338
