year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2007,86,13881,57822,30314,8715,6276,3065
2006,78,18446,55856,29203,9431,6984,3426
2005,158,18773,55562,28677,12863,6410,3507
2004,157,21190,49433,24710,13254,6112,3907
2003,137,22002,48881,19801,12645,6887,3374
2002,263,22504,52897,20984,9806,10527,3712
2001,622,26451,57421,20356,12012,10221,3752
2000,1894,43004,88171,24541,11867,10059,3248
1999,1441,28300,63921,19697,8234,7583,2500
1998,550,16815,50811,18237,6919,6756,3133
1997,939,20587,44691,11993,4828,4756,2184
1996,499,14814,30738,7420,3599,3727,1532
1995,243,8702,18203,4817,2071,3531,1203
1994,153,5588,12362,3742,1562,2515,836
1993,144,3508,7777,2534,900,1595,546
1992,94,3318,4475,1867,697,1282,472
1991,298,7519,6399,4028,1391,2501,1440
