year,<1300cc,1300cc - 1900cc,>1900cc
2016,14085.965741849166,14512.03486238532,15523.826347305388
2015,13952.439595572074,14337.567846396332,15466.241803278688
2014,13951.783357848288,14690.72918047272,16086.773480662983
2013,13576.905460094209,14477.721150059078,15513.64705882353
2012,13871.573903951004,14188.707103087565,14592.203488372093
2011,11725.87063358227,12451.844650708354,14462.94055944056
2010,12199.032644301367,13781.23914893617,14613.994371482177
2009,13146.021524844096,14354.352849495155,14673.663473053892
2008,13482.436296079006,15082.368124804014,15162.739311554484
2007,13135.224742741288,14785.161399238817,14730.437523882309
2006,14286.985228688378,15834.17839978469,15989.666098807496
2005,13483.16231692116,14515.991794448952,14107.005020080322
2004,12736.895934338614,13988.003775834659,13819.615587846763
2003,12669.802505892569,13707.59496421268,13287.372270086154
2002,12424.06009176575,13449.528958767849,13074.437897169266
2001,12304.06392570063,13009.45703648548,12767.326132771339
2000,12226.654549275057,12718.223469247667,12202.84478906558
