year,<1300cc,1300cc - 1900cc,>1900cc
2000,"[39596, 74438, 52651, 36899, 42448, 33026, 24212, 21527, 18643, 22445, 24909, 27660, 20045, 12870, 7184, 4893, 5815]","[75486, 103847, 79193, 67883, 61068, 51986, 39865, 38261, 31376, 27100, 21022, 17554, 10288, 4850, 2461, 1609, 1709]","[12647, 12732, 9949, 10205, 7879, 6525, 7369, 6670, 5472, 5353, 4232, 4132, 2954, 1593, 966, 611, 1200]"
2001,"[39596, 74438, 52651, 36899, 42448, 33026, 24212, 21527, 18643, 22445, 24909, 27660, 20045, 12870, 7184, 4893, 5815]","[75486, 103847, 79193, 67883, 61068, 51986, 39865, 38261, 31376, 27100, 21022, 17554, 10288, 4850, 2461, 1609, 1709]","[12647, 12732, 9949, 10205, 7879, 6525, 7369, 6670, 5472, 5353, 4232, 4132, 2954, 1593, 966, 611, 1200]"
1986,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1987,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1988,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1989,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1990,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1991,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1992,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1993,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
