year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2010,1,8776,14611,1575,516,276,91
2009,4,4231,12156,3472,1085,607,136
2008,36,11071,45017,20831,6510,3513,1378
2007,52,14355,59016,30513,8628,6115,2864
2006,65,18596,56236,29229,9450,6887,3258
2005,151,18799,54943,28356,12376,6258,3266
2004,163,20932,48752,24279,13061,6065,3675
2003,156,21549,47664,19183,12177,6900,3160
2002,221,21551,49729,19477,8967,9787,3270
2001,448,24686,50421,17831,10448,9173,3113
2000,1157,35994,68829,19302,9448,7995,2416
1999,771,21829,45559,13900,6170,5460,1652
1998,225,10498,30355,9918,4188,4081,1730
1997,337,10609,22907,5239,2394,2452,1084
1996,169,6658,14648,3198,1604,1779,739
1995,79,2990,7624,1854,870,1472,545
1994,241,5840,10666,4363,1646,2948,1313
