year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2011,22,10299,9776,1931,85,124,51
2010,1,9083,15063,1667,552,293,105
2009,6,4332,12592,3616,1130,615,138
2008,37,11104,45185,20552,6419,3528,1356
2007,50,14445,59166,30491,8449,6098,2767
2006,66,18582,56124,29050,9316,6811,3186
2005,143,18812,54716,28111,12138,6137,3172
2004,167,20890,48303,23802,12759,6000,3521
2003,169,21273,47053,18717,11658,6636,2921
2002,223,21167,48232,18764,8433,9247,2972
2001,410,23255,46208,16254,9167,8244,2687
2000,989,33532,62314,17224,8305,7009,2109
1999,577,18962,37729,11187,5038,4432,1229
1998,173,9129,25999,7925,3375,3354,1330
1997,282,8795,18954,4009,1826,1929,813
1996,101,4617,10305,2103,1089,1185,498
1995,236,6023,12619,4324,1712,3064,1338
