year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2012,17,8060,7398,1299,103,58,40
2011,25,10533,10082,1966,85,136,57
2010,2,9094,15305,1810,605,332,113
2009,7,4371,13030,3723,1167,637,146
2008,31,11204,45586,20781,6436,3575,1343
2007,46,14496,59460,30507,8451,6058,2707
2006,65,18511,55996,28745,9185,6763,3042
2005,145,18675,54378,27634,11927,6024,3007
2004,162,20701,47640,23377,12197,5762,3281
2003,158,21058,46009,18151,11051,6275,2629
2002,191,20518,45558,17274,7369,8384,2515
2001,359,22220,42611,14607,7851,7229,2128
2000,771,30546,53420,14197,6654,5615,1550
1999,467,17023,32324,9220,4043,3555,919
1998,131,7170,20351,5571,2348,2376,961
1997,203,6416,13940,2628,1200,1286,554
1996,272,8126,17847,4811,2033,3060,1371
