year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2005,138,17816,53360,27280,12369,6046,3355
2004,143,20946,48564,23784,12811,5757,3683
2003,122,21787,47701,19254,11934,6325,3080
2002,257,22293,52684,20357,9161,9713,3367
2001,669,26711,58247,20148,11175,9647,3416
2000,2081,44448,91729,24815,11173,9703,3040
1999,1723,29728,68485,20358,8007,7370,2372
1998,721,18352,56115,19881,6979,6804,3093
1997,1422,24265,51834,14171,5296,5158,2369
1996,848,20039,39691,9604,4491,4343,1677
1995,394,13686,26147,7071,2955,4528,1351
1994,274,10213,20057,6245,2320,3537,996
1993,273,6997,13633,4356,1403,2489,677
1992,208,6879,9180,3285,1189,1980,640
1991,167,5738,6004,2526,888,1266,466
1990,114,4938,4041,2056,619,1154,365
1989,262,5957,4212,2261,749,1412,957
