0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,12608.26344,13901.3185,30404.55516,19581.868,17997.92353,16849.21145,19059.60189,17527.13074,20606.72375,20585.73634,21753.27513,22615.87241,21523.32171,21095.00427
15,12708.66187,14012.01341,30646.6638,19737.79659,18141.23932,16983.38015,19211.37172,17666.69765,20770.81317,20749.65864,21926.49444,22795.9605,21694.70992,21262.98183
14,12809.85976,14123.58977,30890.70033,19894.96683,18285.69632,17118.61723,19364.35009,17807.37592,20936.20922,20914.88624,22101.09307,22977.48261,21867.46288,21432.29698
13,12912,14236,31137,20053,18431,17255,19519,17949,21103,21081,22277,23160,22042,21603
12,13170,14521,31759,20454,18800,17600,19909,18308,21525,21503,22723,23624,22482,22035
11,13434,14811,32395,20864,19176,17952,20307,18674,21955,21933,23177,24096,22932,22476
10,13702,15107,33042,21281,19559,18311,20713,19048,22395,22372,23641,24578,23391,22925
9,13976,15410,33703,21706,19951,18677,21128,19429,22842,22819,24113,25070,23859,23384
8,14256,15718,34377,22141,20350,19051,21550,19817,23299,23276,24596,25571,24336,23851
7,14541,16032,35065,22583,20757,19432,21981,20214,23765,23741,25088,26082,24822,24328
6,14832,16353,35766,23035,21172,19820,22421,20618,24241,24216,25589,26604,25319,24815
5,15128,16680,36482,23496,21595,20217,22869,21030,24725,24700,26101,27136,25825,25311
4,15431,17013,37211,23966,22027,20621,23326,21451,25220,25194,26623,27679,26342,25818
3,15739,17354,37955,24445,22468,21034,23793,21880,25724,25698,27156,28232,26869,26334
2,16054,17701,38715,24934,22917,21454,24269,22318,26239,26212,27699,28797,27406,26861
1,16375,18055,39489,25433,23375,21883,24754,22764,26764,26736,28253,29373,27954,27398
0,16703,18416,40279,25941,23843,22321,25249,23219,27299,27271,28818,29961,28513,27946
