year,<1300cc,1300cc - 1900cc,>1900cc
2015,0,912,429
2014,0,535,440
2013,0,429,189
2012,0,679,114
2011,0,613,137
2010,0,920,190
2009,0,659,46
2008,0,1233,347
2007,0,732,323
2006,0,413,179
2005,0,322,31
2004,0,241,0
2003,0,30,3
2002,0,14,6
2001,1,4,0
2000,2,8,0
1999,0,4,0
