0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,7796,10756,11415,11110,10929,13167,15318,14559,16912,14766,14984,15223,14635,14495
15,7952,10971,11644,11332,11148,13431,15625,14850,17250,15061,15283,15528,14928,14785
14,8111,11191,11877,11558,11371,13699,15937,15147,17595,15362,15589,15838,15226,15081
13,8273,11415,12114,11790,11598,13973,16256,15450,17947,15669,15901,16155,15531,15383
12,8438,11643,12356,12025,11830,14253,16581,15759,18306,15983,16219,16478,15841,15690
11,8607,11876,12604,12266,12067,14538,16913,16074,18672,16302,16543,16808,16158,16004
10,8779,12113,12856,12511,12308,14828,17251,16396,19046,16628,16874,17144,16481,16324
9,8955,12355,13113,12762,12554,15125,17596,16724,19426,16961,17211,17487,16811,16651
8,9134,12603,13375,13017,12805,15427,17948,17058,19815,17300,17556,17836,17147,16984
7,9317,12855,13642,13277,13062,15736,18307,17399,20211,17646,17907,18193,17490,17323
6,9503,13112,13915,13543,13323,16051,18673,17747,20615,17999,18265,18557,17840,17670
5,9693,13374,14194,13813,13589,16372,19046,18102,21028,18359,18630,18928,18197,18023
4,9887,13641,14477,14090,13861,16699,19427,18464,21448,18726,19003,19307,18561,18384
3,10085,13914,14767,14372,14138,17033,19816,18834,21877,19101,19383,19693,18932,18751
2,10286,14193,15062,14659,14421,17374,20212,19210,22315,19483,19771,20087,19310,19126
1,10492,14476,15364,14952,14709,17721,20616,19594,22761,19873,20166,20488,19697,19509
0,10702,14766,15671,15251,15004,18076,21029,19986,23216,20270,20569,20898,20582,19899
