0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,3,55,3,3,1,3,39,1392,102,182,269,677,608,146
15,2,24,0,1,1,3,27,267,80,152,465,465,521,91
14,3,33,0,1,4,26,36,65,270,136,873,957,454,165
13,0,24,2,0,1,41,75,24,586,264,1547,1543,698,300
12,0,0,1,0,0,3,92,57,737,501,2073,1903,1123,482
11,1,0,0,0,0,3,47,75,1101,673,2910,2819,1261,523
10,1,2,0,3,1,8,11,116,607,716,4263,3851,1428,655
9,2,0,1,10,0,26,13,97,414,910,5257,5940,1810,647
8,2,2,0,2,0,1,13,49,538,1085,7121,5432,1325,667
7,1,2,1,1,2,10,61,52,311,1403,9297,7375,1596,1212
6,2,1,0,2,0,16,115,23,386,663,9518,8206,1807,1414
5,0,0,0,2,1,985,169,7,333,820,13256,9731,2257,1778
4,3,1,0,0,29,1771,376,12,380,787,13043,8029,2962,2274
3,2,0,0,1,186,1257,1146,883,332,653,12012,8490,3834,3241
2,3,0,0,2,409,2008,1528,3459,413,147,10376,11607,4142,4155
1,13,1,0,0,848,1865,1375,3941,161,677,11966,11984,5458,4964
0,11,0,0,2,1117,2707,2014,4657,159,2641,11683,11528,6915,5303
